ticker,unvan,durum,kafif_sayisi,sorgu_durumu,mali_sektor_muaf
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,KAPSAM_DISI,0,MUAF_SORGULANMADI,EVET
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BEYAN_YOK,0,KAFIF_YOK,HAYIR
ACP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,KAPSAM_DISI,0,MUAF_SORGULANMADI,EVET
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
ADB,ANADOLUBANK A.Ş.,KAPSAM_DISI,0,MUAF_SORGULANMADI,EVET
ADBNK,ANADOLUBANK A.Ş.,KAPSAM_DISI,0,MUAF_SORGULANMADI,EVET
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
ADLVY,ADİL VARLIK YÖNETİM A.Ş.,KAPSAM_DISI,0,MUAF_SORGULANMADI,EVET
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
AFB,AKTİF YATIRIM BANKASI A.Ş.,KAPSAM_DISI,0,MUAF_SORGULANMADI,EVET
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,KAPSAM_DISI,0,MUAF_SORGULANMADI,EVET
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,BEYAN_VAR,2,KAFIF_VAR,HAYIR
