ticker,endeks_adi,olcum_tarihi
A1CAP,BIST TÜM,2026-08-08
A1CAP,BIST TÜM-100,2026-08-08
A1CAP,BIST 500,2026-08-08
A1CAP,BIST MALİ,2026-08-08
A1CAP,BIST ARACI KURUM,2026-08-08
A1CAP,BIST YILDIZ,2026-08-08
A1YEN,BIST 500,2026-08-08
A1YEN,BIST TÜM-100,2026-08-08
A1YEN,BIST ANA,2026-08-08
A1YEN,BIST TÜM,2026-08-08
A1YEN,BIST ELEKTRİK,2026-08-08
A1YEN,BIST HİZMETLER,2026-08-08
A1YEN,BIST MANİSA,2026-08-08
AAGYO,BIST HALKA ARZ,2026-08-08
AAGYO,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AAGYO,BIST TÜM,2026-08-08
AAGYO,BIST TÜM-100,2026-08-08
AAGYO,BIST MALİ,2026-08-08
AAGYO,BIST YILDIZ,2026-08-08
AAGYO,BIST KATILIM TUM,2026-08-08
AAGYO,BIST 500,2026-08-08
ACP,BIST TÜM,2026-08-08
ACP,BIST TÜM-100,2026-08-08
ACP,BIST 500,2026-08-08
ACP,BIST MALİ,2026-08-08
ACP,BIST ARACI KURUM,2026-08-08
ACP,BIST YILDIZ,2026-08-08
ACSEL,BIST TÜM,2026-08-08
ACSEL,BIST SINAİ,2026-08-08
ACSEL,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
ACSEL,BIST KOBI SANAYİ,2026-08-08
ACSEL,BIST KATILIM TUM,2026-08-08
ACSEL,BIST TÜM-100,2026-08-08
ACSEL,BIST DENİZLİ,2026-08-08
ACSEL,BIST ANA,2026-08-08
ADEL,BIST TÜM-100,2026-08-08
ADEL,BIST TEMETTU 10 YIL,2026-08-08
ADEL,BIST ANA,2026-08-08
ADEL,BIST TÜM,2026-08-08
ADEL,BIST SINAİ,2026-08-08
ADEL,BIST 500,2026-08-08
ADEL,BIST İSTANBUL,2026-08-08
ADEL,BIST TEMETTU 5 YIL,2026-08-08
ADESE,BIST ANA,2026-08-08
ADESE,BIST TÜM-100,2026-08-08
ADESE,BIST KONYA,2026-08-08
ADESE,BIST HİZMETLER,2026-08-08
ADESE,BIST TÜM,2026-08-08
ADESE,BIST 500,2026-08-08
ADGYO,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
ADGYO,BIST YILDIZ,2026-08-08
ADGYO,BIST TÜM,2026-08-08
ADGYO,BIST MALİ,2026-08-08
ADGYO,BIST TÜM-100,2026-08-08
ADGYO,BIST 500,2026-08-08
AEFES,BIST 100,2026-08-08
AEFES,BIST 50,2026-08-08
AEFES,BIST YILDIZ,2026-08-08
AEFES,BIST TEMETTU 10 YIL,2026-08-08
AEFES,BIST 500,2026-08-08
AEFES,BIST TÜM,2026-08-08
AEFES,BIST TEMETTÜ 25,2026-08-08
AEFES,BIST 30,2026-08-08
AEFES,BIST TEMETTÜ,2026-08-08
AEFES,BIST SÜRDÜRÜLEBİLİRLİK 25,2026-08-08
AEFES,BIST KURUMSAL YÖNETİM,2026-08-08
AEFES,BIST TEMETTU 5 YIL,2026-08-08
AEFES,BIST İSTANBUL,2026-08-08
AEFES,"BIST GIDA, İÇECEK",2026-08-08
AEFES,BIST SINAİ,2026-08-08
AEFES,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AFYON,BIST TÜM-100,2026-08-08
AFYON,"BIST TAŞ, TOPRAK",2026-08-08
AFYON,BIST 500,2026-08-08
AFYON,BIST TEMETTÜ,2026-08-08
AFYON,BIST TÜM,2026-08-08
AFYON,BIST ANA,2026-08-08
AFYON,BIST SINAİ,2026-08-08
AGESA,BIST SİGORTA,2026-08-08
AGESA,BIST TÜM,2026-08-08
AGESA,BIST MALİ,2026-08-08
AGESA,BIST 500,2026-08-08
AGESA,BIST YILDIZ,2026-08-08
AGESA,BIST TEMETTÜ,2026-08-08
AGESA,BIST TÜM-100,2026-08-08
AGESA,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AGHOL,BIST HOLDİNG VE YATIRIM,2026-08-08
AGHOL,BIST İSTANBUL,2026-08-08
AGHOL,BIST TÜM,2026-08-08
AGHOL,BIST TÜM-100,2026-08-08
AGHOL,BIST YILDIZ,2026-08-08
AGHOL,BIST TEMETTÜ,2026-08-08
AGHOL,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AGHOL,BIST KURUMSAL YÖNETİM,2026-08-08
AGHOL,BIST TEMETTU 5 YIL,2026-08-08
AGHOL,BIST 500,2026-08-08
AGHOL,BIST MALİ,2026-08-08
AGHOL,BIST TEMETTÜ 25,2026-08-08
AGHOL,BIST TEMETTU 10 YIL,2026-08-08
AGROT,BIST SINAİ,2026-08-08
AGROT,BIST 500,2026-08-08
AGROT,BIST YILDIZ,2026-08-08
AGROT,BIST TÜM-100,2026-08-08
AGROT,BIST TÜM,2026-08-08
AGYO,BIST TÜM-100,2026-08-08
AGYO,BIST TÜM,2026-08-08
AGYO,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AGYO,BIST MALİ,2026-08-08
AHGAZ,BIST KATILIM TUM,2026-08-08
AHGAZ,BIST İSTANBUL,2026-08-08
AHGAZ,BIST TÜM-100,2026-08-08
AHGAZ,BIST TÜM,2026-08-08
AHGAZ,BIST 500,2026-08-08
AHGAZ,BIST HİZMETLER,2026-08-08
AHGAZ,BIST ELEKTRİK,2026-08-08
AHGAZ,BIST GERİ ALIM,2026-08-08
AHGAZ,BIST YILDIZ,2026-08-08
AHSGY,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AHSGY,BIST MALİ,2026-08-08
AHSGY,BIST HALKA ARZ,2026-08-08
AHSGY,BIST KATILIM TUM,2026-08-08
AHSGY,BIST TÜM,2026-08-08
AHSGY,BIST ANA,2026-08-08
AHSGY,BIST TÜM-100,2026-08-08
AHSGY,BIST 500,2026-08-08
AKBNK,BIST YILDIZ,2026-08-08
AKBNK,BIST TEMETTU 5 YIL,2026-08-08
AKBNK,BIST TEMETTÜ 25,2026-08-08
AKBNK,BIST TEMETTÜ,2026-08-08
AKBNK,BIST 30,2026-08-08
AKBNK,BIST TÜM,2026-08-08
AKBNK,BIST 50,2026-08-08
AKBNK,BIST 100,2026-08-08
AKBNK,BIST LİKİT BANKA,2026-08-08
AKBNK,BIST SÜRDÜRÜLEBİLİRLİK 25,2026-08-08
AKBNK,BIST MALİ,2026-08-08
AKBNK,BIST BANKA,2026-08-08
AKBNK,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKBNK,BIST 500,2026-08-08
AKCNS,BIST YILDIZ,2026-08-08
AKCNS,BIST İSTANBUL,2026-08-08
AKCNS,BIST 500,2026-08-08
AKCNS,BIST TEMETTÜ,2026-08-08
AKCNS,BIST SINAİ,2026-08-08
AKCNS,BIST TÜM-100,2026-08-08
AKCNS,BIST TEMETTU 10 YIL,2026-08-08
AKCNS,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKCNS,BIST TÜM,2026-08-08
AKCNS,"BIST TAŞ, TOPRAK",2026-08-08
AKCNS,BIST TEMETTU 5 YIL,2026-08-08
AKENR,BIST İSTANBUL,2026-08-08
AKENR,BIST HİZMETLER,2026-08-08
AKENR,BIST 500,2026-08-08
AKENR,BIST TÜM,2026-08-08
AKENR,BIST ANA,2026-08-08
AKENR,BIST TÜM-100,2026-08-08
AKENR,BIST KURUMSAL YÖNETİM,2026-08-08
AKENR,BIST ELEKTRİK,2026-08-08
AKENR,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKFGY,BIST MALİ,2026-08-08
AKFGY,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AKFGY,BIST YILDIZ,2026-08-08
AKFGY,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKFGY,BIST TÜM-100,2026-08-08
AKFGY,BIST TÜM,2026-08-08
AKFGY,BIST 500,2026-08-08
AKFIS,BIST YILDIZ,2026-08-08
AKFIS,BIST HALKA ARZ,2026-08-08
AKFIS,BIST 500,2026-08-08
AKFIS,BIST ANKARA,2026-08-08
AKFIS,BIST TÜM-100,2026-08-08
AKFIS,BIST HİZMETLER,2026-08-08
AKFIS,BIST TÜM,2026-08-08
AKFIS,BIST İNŞAAT,2026-08-08
AKFYE,BIST HİZMETLER,2026-08-08
AKFYE,BIST ANKARA,2026-08-08
AKFYE,BIST YILDIZ,2026-08-08
AKFYE,BIST 500,2026-08-08
AKFYE,BIST KATILIM 100,2026-08-08
AKFYE,BIST KATILIM TUM,2026-08-08
AKFYE,BIST TÜM-100,2026-08-08
AKFYE,BIST ELEKTRİK,2026-08-08
AKFYE,BIST TÜM,2026-08-08
AKGRT,BIST TÜM-100,2026-08-08
AKGRT,BIST 500,2026-08-08
AKGRT,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AKGRT,BIST TÜM,2026-08-08
AKGRT,BIST YILDIZ,2026-08-08
AKGRT,BIST MALİ,2026-08-08
AKGRT,BIST SİGORTA,2026-08-08
AKHAN,BIST 500,2026-08-08
AKHAN,BIST TÜM,2026-08-08
AKHAN,BIST ANA,2026-08-08
AKHAN,BIST HALKA ARZ,2026-08-08
AKHAN,"BIST GIDA, İÇECEK",2026-08-08
AKHAN,BIST SINAİ,2026-08-08
AKHAN,BIST KATILIM TUM,2026-08-08
AKHAN,BIST TÜM-100,2026-08-08
AKMGY,BIST TÜM-100,2026-08-08
AKMGY,BIST KURUMSAL YÖNETİM,2026-08-08
AKMGY,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AKMGY,BIST TEMETTU 10 YIL,2026-08-08
AKMGY,BIST MALİ,2026-08-08
AKMGY,BIST TÜM,2026-08-08
AKMGY,BIST TEMETTÜ,2026-08-08
AKMGY,BIST TEMETTU 5 YIL,2026-08-08
AKMGY,BIST ANA,2026-08-08
AKSA,BIST 100-30,2026-08-08
AKSA,BIST TEMETTÜ,2026-08-08
AKSA,BIST TEMETTU 10 YIL,2026-08-08
AKSA,BIST TEMETTÜ 25,2026-08-08
AKSA,BIST 500,2026-08-08
AKSA,BIST YILDIZ,2026-08-08
AKSA,BIST 100,2026-08-08
