ticker,slug,unvan,durum,pazar,sektor,endeks_sayisi,not
A1CAP/ACP,1303-a1-capital-yatirim-menkul-degerler-a-s,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,OK,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA / YILDIZ PAZAR,MALİ KURULUŞLAR / ARACI KURUMLAR,6,
A1YEN,5376-a1-yenilenebilir-enerji-uretim-a-s,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,OK,ANA PAZAR,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,7,
AAGYO,6216-agaoglu-avrasya-gayrimenkul-yatirim-ortakligi-a-s,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,OK,YILDIZ PAZAR,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,8,
ACSEL,1626-aciselsan-acipayam-seluloz-sanayi-ve-ticaret-a-s,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,OK,ANA PAZAR,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,8,
ADB/ADBNK,2010-anadolubank-a-s,ANADOLUBANK A.Ş.,ALAN_EKSIK,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA,,0,"eksik: sektor, endeksler"
ADEL,832-adel-kalemcilik-ticaret-ve-sanayi-a-s,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,OK,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA / ANA PAZAR,İMALAT / DİĞER İMALAT SANAYİİ,8,
ADESE,1560-adese-gayrimenkul-yatirim-a-s,ADESE GAYRİMENKUL YATIRIM A.Ş.,OK,ANA PAZAR,GAYRİMENKUL FAALİYETLERİ,6,
ADGYO,5867-adra-gayrimenkul-yatirim-ortakligi-a-s,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,OK,YILDIZ PAZAR,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI,6,
ADLVY,6148-adil-varlik-yonetim-a-s,ADİL VARLIK YÖNETİM A.Ş.,ALAN_EKSIK,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA,,0,"eksik: sektor, endeksler"
AEFES,858-anadolu-efes-biracilik-ve-malt-sanayii-a-s,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,OK,KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA / YILDIZ PAZAR,"İMALAT / GIDA, İÇECEK VE TÜTÜN",16,
AFB/AKTIF,2212-aktif-yatirim-bankasi-a-s,AKTİF YATIRIM BANKASI A.Ş.,ALAN_EKSIK,KESİN ALIM SATIM PAZARI / KESİN ALIM SATIM PAZARI-NİTELİKLİ YATIRIMCILAR ARASINDA,,0,"eksik: sektor, endeksler"
