ticker,unvan,kap_member_uuid,kap_kfif_slug,sehir,denetci,pazar,sektor,mali_sektor_muaf
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,4028e4a2420327a4014209c55161144d,1626-aciselsan-acipayam-seluloz-sanayi-ve-ticaret-a-s,DENİZLİ,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,HAYIR
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,4028e4a240e8d16e0140e8f159dc0033,832-adel-kalemcilik-ticaret-ve-sanayi-a-s,KOCAELİ,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,,,HAYIR
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,4028e4a140f2ed720141164431b905a5,1560-adese-gayrimenkul-yatirim-a-s,KONYA,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.,,,HAYIR
ADLVY,ADİL VARLIK YÖNETİM A.Ş.,8acae2c4998f24d80199e1a75ec6473e,6148-adil-varlik-yonetim-a-s,İSTANBUL,IŞIK YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.,,,EVET
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c586d22c53018a737800f804ae,5867-adra-gayrimenkul-yatirim-ortakligi-a-s,İZMİR,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,,,HAYIR
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,4028e4a24158e42401415af83d607fd3,833-afyon-cimento-sanayi-t-a-s,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,HAYIR
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,4028e4a240f2ef4c014101b18dc000f7,1131-ag-anadolu-grubu-holding-a-s,İSTANBUL,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş,,,HAYIR
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,4028e4a140e95bea0140edeb7a54015d,2370-agesa-hayat-ve-emeklilik-a-s,İSTANBUL,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.,,,EVET
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,8acae2c48b2fa259018bb9e449415e84,5899-agrotech-yuksek-teknoloji-ve-yatirim-a-s,İSTANBUL,ANALİZ BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,,,HAYIR
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c49c81f743019d2dfb40633db8,6216-agaoglu-avrasya-gayrimenkul-yatirim-ortakligi-a-s,İSTANBUL,REFORM BAĞIMSIZ DENETİM A.Ş.,,,HAYIR
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c59145e00a01915a44a01d1179,6014-ahes-gayrimenkul-yatirim-ortakligi-a-s,İSTANBUL,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,,,HAYIR
