ticker,uuid,unvan,durum,kafif_sayisi,toplam_bildirim,sorgu_tarihi,not
A1CAP/ACP,4028e4a1416e696301416f37201c5f2e,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,MUAF_SORGULANMADI,0,0,2026-08-07,
A1YEN,8acae2c5794d3d66017a62a693be689d,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,KAFIF_VAR,2,13,2026-08-07,
AAGYO,8acae2c49c81f743019d2dfb40633db8,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KAFIF_YOK,0,29,2026-08-07,
ACSEL,4028e4a2420327a4014209c55161144d,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,KAFIF_VAR,2,11,2026-08-07,
ADB/ADBNK,4028e4a140f2ed72014116e79df405db,ANADOLUBANK A.Ş.,MUAF_SORGULANMADI,0,0,2026-08-07,
ADEL,4028e4a240e8d16e0140e8f159dc0033,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KAFIF_VAR,2,16,2026-08-07,
ADESE,4028e4a140f2ed720141164431b905a5,ADESE GAYRİMENKUL YATIRIM A.Ş.,KAFIF_VAR,2,9,2026-08-07,
ADGYO,8acae2c586d22c53018a737800f804ae,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KAFIF_VAR,2,57,2026-08-07,
ADLVY,8acae2c4998f24d80199e1a75ec6473e,ADİL VARLIK YÖNETİM A.Ş.,MUAF_SORGULANMADI,0,0,2026-08-07,
AEFES,4028e4a140e95bea0140ed2fde10009d,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,KAFIF_VAR,2,31,2026-08-07,
AFB/AKTIF,1DE05DAA8212073AE0530A4A622A2EBD,AKTİF YATIRIM BANKASI A.Ş.,MUAF_SORGULANMADI,0,0,2026-08-07,
AFYON,4028e4a24158e42401415af83d607fd3,AFYON ÇİMENTO SANAYİ T.A.Ş.,KAFIF_VAR,2,15,2026-08-07,
AGESA,4028e4a140e95bea0140edeb7a54015d,AGESA HAYAT VE EMEKLİLİK A.Ş.,MUAF_SORGULANMADI,0,0,2026-08-07,
AGHOL,4028e4a240f2ef4c014101b18dc000f7,AG ANADOLU GRUBU HOLDİNG A.Ş.,KAFIF_VAR,2,15,2026-08-07,
AGROT,8acae2c48b2fa259018bb9e449415e84,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,KAFIF_VAR,2,22,2026-08-07,
AGYO,4028e4a240f2ef4c0141164a06d8043a,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KAFIF_VAR,2,30,2026-08-07,
AHGAZ,4028e4a14203278a0142095715f914d0,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,KAFIF_VAR,2,18,2026-08-07,
