ticker,donem_baslangic,donem_bitis,endekste_mi,kaynak_dosya
AAGYO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ACSEL,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ADESE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AFYON,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AHGAZ,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AHSGY,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AKCNS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AKFYE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AKHAN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AKSA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AKSEN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALBRK,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALBTN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALCTL,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALK,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALKA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALKIM,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALKLC,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALTNY,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ALVES,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ANELE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ARASE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ARDYZ,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ARENA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ARFYE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ARTMS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ASELS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ASGYO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ASUZU,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ATAGY,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ATAKP,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ATATP,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AVOD,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AVPGY,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
AYEN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BAKAB,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BANVT,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BARMA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BASGZ,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BAYRK,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BEGYO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BESTE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BETAE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BEYAZ,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BIENY,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BIMAS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BINBN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BINHO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BIOEN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BMSTL,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BNTAS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BOBET,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BORLS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BORSK,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BOSSA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BRKSN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BRLSM,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BUCIM,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BURCE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
BURVA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CANTE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CATES,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CCOLA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CEMAS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CEMTS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CGCAM,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CIMSA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CLEBI,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CMBTN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
COSMO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CUSAN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
CWENE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DAPGM,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DARDL,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DCTTR,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DESA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DESPC,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DGATE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DGGYO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DGNMO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DITAS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DOAS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DOFER,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DOFRB,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DOGUB,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DURKN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
DYOBY,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EBEBK,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EFOR,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EFORC,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EGEPO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EGGUB,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EGPRO,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EKOS,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EKSUN,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ELITE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
EMPAE,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
ENJSA,2024-07-01,2024-11-30,EVET,katilim_endeksleri_20241201_20250430.pdf
