ticker,donem_baslangic,olay,kaynak_dosya
ADESE,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
AKFYE,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
AYEN,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
BAKAB,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
BEGYO,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
BIENY,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
BMSTL,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
BOSSA,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
CANTE,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
CIMSA,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
CCOLA,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
CUSAN,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
DGGYO,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
DYOBY,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
EUPWR,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
GENIL,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
IMASM,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
ISSEN,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
KAREL,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
KUYAS,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
MAKIM,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
MEGMT,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
NUGYO,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
OFSYM,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
ORCAY,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
OTKAR,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
PAGYO,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
PRDGS,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
PETKM,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
QUAGR,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
RYGYO,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
SNICA,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
SAMAT,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
TUCLK,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
TURGG,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
VANGD,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
YKSLN,2024-07-01,GIREN,katilim_endeksleri_20240701_20241130.pdf
ADGYO,2024-07-01,CIKAN,katilim_endeksleri_20240701_20241130.pdf
AKSGY,2024-07-01,CIKAN,katilim_endeksleri_20240701_20241130.pdf
